"ID","age","sex","job","education","condition","trial","inflations","exploded"
6,51,"female","working","bachelor","normal_high",7,33,0
6,51,"female","working","bachelor","normal_high",8,33,0
6,51,"female","working","bachelor","normal_high",9,33,1
6,51,"female","working","bachelor","normal_high",10,5,1
6,51,"female","working","bachelor","normal_high",11,29,1
6,51,"female","working","bachelor","normal_high",12,20,0
6,51,"female","working","bachelor","normal_high",13,25,0
6,51,"female","working","bachelor","normal_high",14,29,1
6,51,"female","working","bachelor","normal_high",15,1,1
6,51,"female","working","bachelor","normal_high",16,26,0
6,51,"female","working","bachelor","normal_high",17,28,1
6,51,"female","working","bachelor","normal_high",18,20,0
6,51,"female","working","bachelor","normal_high",19,26,0
6,51,"female","working","bachelor","normal_high",20,5,1
6,51,"female","working","bachelor","normal_high",21,25,0
6,51,"female","working","bachelor","normal_high",22,25,0
6,51,"female","working","bachelor","normal_high",23,13,1
6,51,"female","working","bachelor","normal_high",24,21,0
6,51,"female","working","bachelor","normal_high",25,21,0
6,51,"female","working","bachelor","normal_high",26,19,1
6,51,"female","working","bachelor","normal_high",27,14,1
6,51,"female","working","bachelor","normal_high",28,18,0
6,51,"female","working","bachelor","normal_high",29,19,0
6,51,"female","working","bachelor","normal_high",30,5,1
7,32,"female","working","high_school","uniform",1,21,1
7,32,"female","working","high_school","uniform",2,6,0
7,32,"female","working","high_school","uniform",3,12,0
7,32,"female","working","high_school","uniform",4,12,0
7,32,"female","working","high_school","uniform",5,14,0
7,32,"female","working","high_school","uniform",6,7,1
7,32,"female","working","high_school","uniform",7,7,0
7,32,"female","working","high_school","uniform",8,15,0
7,32,"female","working","high_school","uniform",9,8,0
7,32,"female","working","high_school","uniform",10,8,0
7,32,"female","working","high_school","uniform",11,18,0
7,32,"female","working","high_school","uniform",12,12,0
7,32,"female","working","high_school","uniform",13,10,0
7,32,"female","working","high_school","uniform",14,15,0
7,32,"female","working","high_school","uniform",15,13,1
7,32,"female","working","high_school","uniform",16,12,0
7,32,"female","working","high_school","uniform",17,4,1
7,32,"female","working","high_school","uniform",18,13,0
7,32,"female","working","high_school","uniform",19,18,0
7,32,"female","working","high_school","uniform",20,10,0
7,32,"female","working","high_school","uniform",21,14,0
7,32,"female","working","high_school","uniform",22,18,0
7,32,"female","working","high_school","uniform",23,9,1
7,32,"female","working","high_school","uniform",24,19,0
7,32,"female","working","high_school","uniform",25,8,1
7,32,"female","working","high_school","uniform",26,20,0
7,32,"female","working","high_school","uniform",27,18,0
7,32,"female","working","high_school","uniform",28,17,0
7,32,"female","working","high_school","uniform",29,10,0
7,32,"female","working","high_school","uniform",30,5,1
8,57,"female","working","professional","normal_moderate",1,15,0
8,57,"female","working","professional","normal_moderate",2,25,0
8,57,"female","working","professional","normal_moderate",3,30,0
8,57,"female","working","professional","normal_moderate",4,22,1
8,57,"female","working","professional","normal_moderate",5,25,0
8,57,"female","working","professional","normal_moderate",6,30,0
8,57,"female","working","professional","normal_moderate",7,33,0
8,57,"female","working","professional","normal_moderate",8,22,1
8,57,"female","working","professional","normal_moderate",9,18,1
8,57,"female","working","professional","normal_moderate",10,18,0
8,57,"female","working","professional","normal_moderate",11,25,0
8,57,"female","working","professional","normal_moderate",12,12,1
8,57,"female","working","professional","normal_moderate",13,4,1
8,57,"female","working","professional","normal_moderate",14,15,0
8,57,"female","working","professional","normal_moderate",15,20,0
8,57,"female","working","professional","normal_moderate",16,22,1
8,57,"female","working","professional","normal_moderate",17,21,0
8,57,"female","working","professional","normal_moderate",18,21,0
8,57,"female","working","professional","normal_moderate",19,17,0
8,57,"female","working","professional","normal_moderate",20,25,1
8,57,"female","working","professional","normal_moderate",21,14,0
8,57,"female","working","professional","normal_moderate",22,18,0
8,57,"female","working","professional","normal_moderate",23,21,0
8,57,"female","working","professional","normal_moderate",24,19,1
8,57,"female","working","professional","normal_moderate",25,13,0
8,57,"female","working","professional","normal_moderate",26,17,0
8,57,"female","working","professional","normal_moderate",27,19,0
8,57,"female","working","professional","normal_moderate",28,18,0
8,57,"female","working","professional","normal_moderate",29,20,0
8,57,"female","working","professional","normal_moderate",30,19,0
9,63,"female","working","high_school","normal_low",1,17,0
9,63,"female","working","high_school","normal_low",2,28,0
9,63,"female","working","high_school","normal_low",3,26,1
9,63,"female","working","high_school","normal_low",4,19,0
9,63,"female","working","high_school","normal_low",5,21,0
9,63,"female","working","high_school","normal_low",6,21,0
9,63,"female","working","high_school","normal_low",7,22,0
9,63,"female","working","high_school","normal_low",8,23,0
9,63,"female","working","high_school","normal_low",9,18,1
9,63,"female","working","high_school","normal_low",10,19,0
9,63,"female","working","high_school","normal_low",11,21,0
9,63,"female","working","high_school","normal_low",12,24,0
9,63,"female","working","high_school","normal_low",13,23,0
9,63,"female","working","high_school","normal_low",14,24,0
9,63,"female","working","high_school","normal_low",15,22,0
9,63,"female","working","high_school","normal_low",16,23,0
9,63,"female","working","high_school","normal_low",17,24,0
9,63,"female","working","high_school","normal_low",18,26,0
9,63,"female","working","high_school","normal_low",19,25,0
9,63,"female","working","high_school","normal_low",20,24,0
9,63,"female","working","high_school","normal_low",21,25,0
9,63,"female","working","high_school","normal_low",22,25,0
9,63,"female","working","high_school","normal_low",23,26,0
9,63,"female","working","high_school","normal_low",24,29,0
9,63,"female","working","high_school","normal_low",25,29,0
9,63,"female","working","high_school","normal_low",26,28,1
9,63,"female","working","high_school","normal_low",27,27,0
9,63,"female","working","high_school","normal_low",28,26,0
9,63,"female","working","high_school","normal_low",29,25,0
9,63,"female","working","high_school","normal_low",30,22,1
10,34,"female","unemployed","high_school","uniform",1,21,1
10,34,"female","unemployed","high_school","uniform",2,12,1
10,34,"female","unemployed","high_school","uniform",3,10,0
10,34,"female","unemployed","high_school","uniform",4,15,0
10,34,"female","unemployed","high_school","uniform",5,15,0
10,34,"female","unemployed","high_school","uniform",6,7,1
10,34,"female","unemployed","high_school","uniform",7,10,1
10,34,"female","unemployed","high_school","uniform",8,10,0
10,34,"female","unemployed","high_school","uniform",9,12,0
10,34,"female","unemployed","high_school","uniform",10,14,0
10,34,"female","unemployed","high_school","uniform",11,15,0
10,34,"female","unemployed","high_school","uniform",12,16,0
10,34,"female","unemployed","high_school","uniform",13,15,0
10,34,"female","unemployed","high_school","uniform",14,18,0
10,34,"female","unemployed","high_school","uniform",15,13,1
10,34,"female","unemployed","high_school","uniform",16,15,0
10,34,"female","unemployed","high_school","uniform",17,4,1
10,34,"female","unemployed","high_school","uniform",18,13,0
10,34,"female","unemployed","high_school","uniform",19,13,0
10,34,"female","unemployed","high_school","uniform",20,13,0
10,34,"female","unemployed","high_school","uniform",21,16,0
10,34,"female","unemployed","high_school","uniform",22,10,0
10,34,"female","unemployed","high_school","uniform",23,9,1
10,34,"female","unemployed","high_school","uniform",24,14,0
10,34,"female","unemployed","high_school","uniform",25,8,1
10,34,"female","unemployed","high_school","uniform",27,17,0
10,34,"female","unemployed","high_school","uniform",27,14,0
10,34,"female","unemployed","high_school","uniform",28,11,0
10,34,"female","unemployed","high_school","uniform",29,14,0
10,34,"female","unemployed","high_school","uniform",30,5,1
11,35,"male","working","high_school","uniform",1,21,1
11,35,"male","working","high_school","uniform",2,12,1
11,35,"male","working","high_school","uniform",3,10,0
11,35,"male","working","high_school","uniform",4,11,0
11,35,"male","working","high_school","uniform",5,8,0
11,35,"male","working","high_school","uniform",6,7,1
11,35,"male","working","high_school","uniform",7,10,1
11,35,"male","working","high_school","uniform",8,8,0
11,35,"male","working","high_school","uniform",9,8,0
11,35,"male","working","high_school","uniform",10,8,0
11,35,"male","working","high_school","uniform",11,8,0
11,35,"male","working","high_school","uniform",12,8,0
11,35,"male","working","high_school","uniform",13,8,0
11,35,"male","working","high_school","uniform",14,8,0
11,35,"male","working","high_school","uniform",15,8,0
11,35,"male","working","high_school","uniform",16,8,0
11,35,"male","working","high_school","uniform",17,4,1
11,35,"male","working","high_school","uniform",18,10,0
11,35,"male","working","high_school","uniform",19,8,0
11,35,"male","working","high_school","uniform",20,8,0
11,35,"male","working","high_school","uniform",21,10,0
11,35,"male","working","high_school","uniform",22,10,0
11,35,"male","working","high_school","uniform",23,9,1
11,35,"male","working","high_school","uniform",24,7,0
11,35,"male","working","high_school","uniform",25,8,1
11,35,"male","working","high_school","uniform",26,9,0
11,35,"male","working","high_school","uniform",27,9,0
11,35,"male","working","high_school","uniform",28,9,0
11,35,"male","working","high_school","uniform",29,9,0
11,35,"male","working","high_school","uniform",30,5,1
12,54,"female","working","bachelor","normal_high",1,21,1
12,54,"female","working","bachelor","normal_high",2,22,0
12,54,"female","working","bachelor","normal_high",3,14,0
12,54,"female","working","bachelor","normal_high",4,13,0
12,54,"female","working","bachelor","normal_high",5,13,0
12,54,"female","working","bachelor","normal_high",6,17,0
12,54,"female","working","bachelor","normal_high",7,13,0
12,54,"female","working","bachelor","normal_high",8,13,0
12,54,"female","working","bachelor","normal_high",9,14,0
12,54,"female","working","bachelor","normal_high",10,5,1
12,54,"female","working","bachelor","normal_high",11,18,0
12,54,"female","working","bachelor","normal_high",12,9,0
12,54,"female","working","bachelor","normal_high",13,18,0
12,54,"female","working","bachelor","normal_high",14,12,0
12,54,"female","working","bachelor","normal_high",15,1,1
12,54,"female","working","bachelor","normal_high",16,29,0
